,Preprocessing,Model Name,Train accuracy,Test accuracy,Train F1,Test F1,Train Precision,Test Precision,Train Recall,Test recall
0,TfIdf Chi 200,LogisticRegression,0.86615,0.8652,0.854320853286896,0.8548039638087032,0.9359127220698701,0.9310183012670108,0.785814395835419,0.7901234567901234
1,TfIdf Chi 200,DecisionTree,0.9691,0.8302,0.9699941736259468,0.8486361205205919,0.9417365890449703,0.7682375726275016,1.0,0.9478295499800876
2,TfIdf Chi 200,RandomForest,0.969025,0.8689,0.9699206137262995,0.880590217688314,0.9416867015509357,0.8114822897431593,0.9998998898788668,0.9625647152528873
3,TfIdf Chi 200,XGBoost,0.935,0.8875,0.9372556590569042,0.8967416245984395,0.9048928238583411,0.8317725183041035,0.9720192211432576,0.9727200318598168
4,TfIdf Chi 200,SVC,0.925775,0.8853,0.9276788541641293,0.8946256316031235,0.9035349940688019,0.8304622207061232,0.9531484633096406,0.9695340501792115
5,TfIdf Chi 500,LogisticRegression,0.89545,0.8944,0.8889655904842821,0.8881118881118881,0.9465679068189529,0.9490489130434783,0.8379717689458405,0.8345280764635603
6,TfIdf Chi 500,DecisionTree,0.99395,0.8455,0.9939797999900493,0.8604209955732225,0.9880316518298714,0.7874979328592691,1.0,0.9482277976901633
7,TfIdf Chi 500,RandomForest,0.9939,0.8861,0.9939303482587065,0.8948388883759579,0.9879339333399269,0.8342227577896367,1.0,0.9649542015133413
8,TfIdf Chi 500,XGBoost,0.95765,0.8904,0.9584437248552644,0.8993941619239949,0.9398152602713364,0.8342983651226158,0.9778256081689859,0.9755077658303465
9,TfIdf Chi 500,SVC,0.95955,0.9112,0.9598391580619541,0.9166197183098591,0.9519940915805022,0.8672707889125799,0.9678145960556612,0.9719235364396654
10,Word2Vec,LogisticRegression,0.9488487212180304,0.9497949794979498,0.9481289930027381,0.9490872210953346,0.9605486207427955,0.9669353172143005,0.9360264303949541,0.9318860784704243
11,Word2Vec,DecisionTree,1.0,0.913991399139914,1.0,0.912937841668354,1.0,0.9283508338480544,1.0,0.8980282812188807
12,Word2Vec,RandomForest,1.0,0.965996599659966,1.0,0.966006798640272,1.0,0.9698855651475607,1.0,0.962158932483569
13,Word2Vec,XGBoost,0.9997249931248281,0.9705970597059705,0.9997246351415625,0.9704225352112676,0.999899849774662,0.9804838381784916,0.9995494819041898,0.9605656243776141
14,Word2Vec,SVC,0.5050126253156328,0.495949594959496,0.506911065175703,0.4624573378839591,0.5044111816019032,0.49781859931113664,0.5094358512289132,0.43178649671380204
15,TfIdf SVD 200,LogisticRegression,0.9405,0.9405,0.9393599673868733,0.9389680992922351,0.9566165023352361,0.9682674000423102,0.9227149864851336,0.911389884508164
16,TfIdf SVD 200,DecisionTree,1.0,0.8829,1.0,0.8843228292008298,1.0,0.8774750049009998,1.0,0.8912783751493429
17,TfIdf SVD 200,RandomForest,1.0,0.9268,1.0,0.9287937743190662,1.0,0.9079497907949791,1.0,0.9506172839506173
18,TfIdf SVD 200,XGBoost,0.9973,0.9447,0.9972951312362253,0.945176960444136,0.9979949874686717,0.9411648568608095,0.9965962558814696,0.9492234169653524
19,TfIdf SVD 200,SVC,0.97325,0.9541,0.9731169287975479,0.9545769421078674,0.9768966908797417,0.948849104859335,0.9693663029332266,0.9603743528474711
20,TfIdf SVD 500,LogisticRegression,0.949075,0.949,0.9481745325022263,0.9478314238952537,0.9641434262948207,0.9745477492637779,0.9327259985984583,0.9225408203902827
21,TfIdf SVD 500,DecisionTree,1.0,0.8743,1.0,0.8758518518518519,1.0,0.8689006466784245,1.0,0.8829151732377539
22,TfIdf SVD 500,RandomForest,1.0,0.9235,1.0,0.9263502454991817,1.0,0.8967381174277727,1.0,0.9579848665870171
23,TfIdf SVD 500,XGBoost,0.9992,0.9466,0.999199038846616,0.9470448234827449,0.9992990888154601,0.9433030422757803,0.9990990089098007,0.9508164078056551
24,TfIdf SVD 500,SVC,0.984125,0.9628,0.9840608449007253,0.9631901840490797,0.9869593676048537,0.9573170731707317,0.9811792972269496,0.9691358024691358
